Code postal,Commune,Type local,Prix m2
01260,ARVIERE-EN-VALROMEY,Maison,1758.7537917087966
01260,CHAMPAGNE-EN-VALROMEY,Appartement,1338.5826771653544
01260,CHAMPAGNE-EN-VALROMEY,Maison,1463.1410256410254
01260,HAUT-VALROMEY,Appartement,1795.3676470588234
01260,HAUT-VALROMEY,Maison,2607.142857142857
01260,RUFFIEU,Maison,1162.7777777777778
01260,VALROMEY-SUR-SERAN,Maison,1566.7701863354037
01270,COLIGNY,Maison,1259.2592592592594
01270,SALAVRE,Maison,1985.1851851851852
01270,VERJON,Maison,2280.1470588235293
01270,VILLEMOTIER,Appartement,1682.9411764705883
01270,VILLEMOTIER,Maison,1705.8823529411766
01280,PREVESSIN-MOENS,Appartement,4900.326797385621
01280,PREVESSIN-MOENS,Maison,4827.3026315789475
01290,BEY,Maison,2338.709677419354
01290,CORMORANCHE-SUR-SAONE,Maison,2017.142857142857
01290,CROTTET,Maison,1908.0459770114942
01290,CRUZILLES-LES-MEPILLAT,Maison,2142.8571428571427
01290,GRIEGES,Appartement,2667.098039215686
01290,GRIEGES,Maison,1662.0188816267246
01290,LAIZ,Maison,2121.527777777778
01290,PONT-DE-VEYLE,Appartement,1175.5997570604313
01290,PONT-DE-VEYLE,Maison,1562.4539170506914
01290,SAINT-JEAN-SUR-VEYLE,Maison,1934.920634920635
01300,AMBLEON,Maison,2326.9791666666665
01300,ANDERT-CONDON,Maison,1200.0
01300,ARBOYS EN BUGEY,Maison,1503.1146179401992
01300,BELLEY,Appartement,1580.1507994186045
01300,BELLEY,Maison,1786.111111111111
01300,BREGNIER-CORDON,Maison,1602.0618556701031
01300,BRENS,Maison,2226.277372262773
01300,CHAZEY-BONS,Maison,1382.8846153846152
01300,CONTREVOZ,Appartement,1611.111111111111
01300,CONTREVOZ,Maison,1847.9535398230087
01300,CUZIEU,Maison,1773.2758620689656
01300,GROSLEE-SAINT-BENOIT,Maison,1586.3941480206543
01300,MAGNIEU,Maison,1844.0860215053763
01300,MARIGNIEU,Maison,2093.75
01300,MASSIGNIEU-DE-RIVES,Maison,1077.319587628866
01300,PARVES ET NATTAGES,Maison,1838.235294117647
01300,PEYRIEU,Maison,1442.8632115548003
01300,PREMEYZEL,Maison,1728.082191780822
01300,ST-GERMAIN-LES-PAROISSES,Maison,1768.1818181818182
01300,VIRIGNIN,Appartement,1616.4383561643835
01300,VIRIGNIN,Maison,2021.8207623682076
01310,BUELLAS,Appartement,1992.1875
01310,BUELLAS,Maison,1881.111111111111
01310,CONFRANCON,Maison,2258.5057471264367
01310,CURTAFOND,Maison,1525.0
01310,MONTCET,Maison,2230.1020408163267
01310,MONTRACOL,Appartement,1145.8333333333333
01310,MONTRACOL,Maison,1783.4905660377358
01310,POLLIAT,Appartement,2215.109636363636
01310,POLLIAT,Maison,1390.4761904761904
01310,SAINT-MARTIN-LE-CHATEL,Maison,2015.1466322913311
01310,SAINT-REMY,Maison,2382.4324324324325
01320,CHALAMONT,Appartement,1800.0
01320,CHALAMONT,Maison,1938.034188034188
01320,CHATENAY,Maison,1898.828947368421
01320,CHATILLON-LA-PALUD,Appartement,1358.1818181818182
01320,CHATILLON-LA-PALUD,Maison,2087.6602564102564
01320,CRANS,Maison,2062.5
01320,SAINT-NIZIER-LE-DESERT,Maison,2149.736842105264
01320,VILLETTE-SUR-AIN,Maison,2568.8073394495414
01330,AMBERIEUX-EN-DOMBES,Maison,2560.0
01330,BOULIGNEUX,Maison,2194.4444444444443
01330,LAPEYROUSE,Maison,2400.0
01330,LE PLANTAY,Maison,2598.541927409262
01330,VERSAILLEUX,Maison,2389.826732673267
01330,VILLARS-LES-DOMBES,Appartement,2250.3676470588234
01330,VILLARS-LES-DOMBES,Maison,2781.313131313131
01340,ATTIGNAT,Appartement,2102.2727272727275
01340,ATTIGNAT,Maison,1910.869565217392
01340,BEREZIAT,Maison,1427.4145408163265
01340,BRESSE VALLONS,Maison,1631.7742374727668
01340,FOISSIAT,Maison,1766.6666666666665
01340,JAYAT,Maison,1959.1131907308381
01340,MALAFRETAZ,Appartement,1079.861111111111
01340,MALAFRETAZ,Maison,1998.5795454545455
01340,MARSONNAS,Maison,1422.9825517993456
01340,MONTREVEL-EN-BRESSE,Appartement,2083.125
01340,MONTREVEL-EN-BRESSE,Maison,1658.8023088023085
01340,SAINT-SULPICE,Maison,1702.4553936814536
01350,ANGLEFORT,Appartement,1800.0
01350,ANGLEFORT,Maison,1827.8169014084503
01350,BEON,Maison,1841.2698412698408
