Commune;Classement
CAPBRETON;Mer
GASTES;Mer
LABENNE;Mer
LIT-ET-MIXE;Mer
MESSANGES;Mer
MIMIZAN;Mer
MOLIETS-ET-MAA;Mer
ONDRES;Mer
PARENTIS-EN-BORN;Mer
SAINTE-EULALIE-EN-BORN;Mer
SAINT-JULIEN-EN-BORN;Mer
SANGUINET;Mer
SEIGNOSSE;Mer
SOORTS-HOSSEGOR;Mer
SOUSTONS;Mer
TARNOS;Mer
VIELLE-SAINT-GIRONS;Mer
VIEUX-BOUCAU-LES-BAINS;Mer
ASSERAC;Mer
BATZ-SUR-MER;Mer
LA BERNERIE-EN-RETZ;Mer
LE CROISIC;Mer
LA BAULE-ESCOUBLAC;Mer
GUERANDE;Mer
MESQUER;Mer
LES MOUTIERS-EN-RETZ;Mer
PIRIAC-SUR-MER;Mer
LA PLAINE-SUR-MER;Mer
PORNIC;Mer
PORNICHET;Mer
LE POULIGUEN;Mer
PREFAILLES;Mer
SAINT-BREVIN-LES-PINS;Mer
SAINT-MICHEL-CHEF-CHEF;Mer
SAINT-NAZAIRE;Mer
LA TURBALLE;Mer
AGON-COUTAINVILLE;Mer
ANNEVILLE-SUR-MER;Mer
ANNOVILLE;Mer
AUDERVILLE;Mer
AUDOUVILLE-LA-HUBERT;Mer
AUMEVILLE-LESTRE;Mer
AVRANCHES;Mer
BARFLEUR;Mer
BARNEVILLE-CARTERET;Mer
BAUBIGNY;Mer
BEAUMONT-HAGUE;Mer
BEAUVOIR;Mer
BIVILLE;Mer
BLAINVILLE-SUR-MER;Mer
JULLOUVILLE;Mer
BREHAL;Mer
BRETTEVILLE;Mer
BRETTEVILLE-SUR-AY;Mer
BREVANDS;Mer
BREVILLE-SUR-MER;Mer
BRICQUEVILLE-SUR-MER;Mer
BRUCHEVILLE;Mer
CAROLLES;Mer
CEAUX;Mer
CHAMPEAUX;Mer
CHERBOURG-OCTEVILLE;Mer
COSQUEVILLE;Mer
COUDEVILLE-SUR-MER;Mer
COURTILS;Mer
CRASVILLE;Mer
CREANCES;Mer
DENNEVILLE;Mer
DIGOSVILLE;Mer
DIGULLEVILLE;Mer
DONVILLE-LES-BAINS;Mer
DRAGEY-RONTHON;Mer
ECULLEVILLE;Mer
EQUEURDREVILLE-HAINNEVILLE;Mer
